Mission_time,Temp1,Temp2,Pressure1,Pressure2,Temp3,Temp4,Pressure3,Pressure4,Temp5,Temp6,Pressure5,Pressure6,Pressurant_Fill_Indicator,Pressurant_Oxidizer_Indicator,Oxidizer_Fill_Indicator,Oxidizer_Combustion_Indicator
0.00,223.14,0.00,59.61,0.00,202.64,0.00,208.12,0.00,0.00,0.00,227.12,0.00,0,0,0,0
1.00,182.62,0.00,51.12,0.00,185.06,0.00,188.59,0.00,0.00,0.00,213.28,0.00,0,0,0,0
2.01,176.76,0.00,49.17,0.00,181.15,0.00,182.89,0.00,0.00,0.00,207.59,0.00,0,0,0,0
3.02,175.78,0.00,49.00,0.00,180.18,0.00,182.08,0.00,0.00,0.00,205.96,0.00,0,0,0,0
4.02,176.27,0.00,49.17,0.00,181.15,0.00,182.89,0.00,0.00,0.00,206.77,0.00,0,0,0,0
5.03,175.29,0.00,48.82,0.00,180.18,0.00,182.08,0.00,0.00,0.00,205.96,0.00,0,0,0,0
6.03,174.80,0.00,48.64,0.00,179.69,0.00,180.45,0.00,0.00,0.00,205.14,0.00,0,0,0,0
7.04,175.78,0.00,49.00,0.00,180.66,0.00,182.08,0.00,0.00,0.00,205.96,0.00,0,0,0,0
8.04,175.78,0.00,49.00,0.00,180.66,0.00,182.08,0.00,0.00,0.00,205.96,0.00,0,0,0,0
9.05,174.80,0.00,48.64,0.00,179.69,0.00,180.45,0.00,0.00,0.00,205.14,0.00,0,0,0,0
10.05,175.29,0.00,48.82,0.00,180.18,0.00,181.26,0.00,0.00,0.00,205.14,0.00,0,0,0,0
11.06,175.78,0.00,49.00,0.00,180.66,0.00,182.89,0.00,0.00,0.00,205.96,0.00,0,0,0,0
12.06,175.78,0.00,48.82,0.00,180.18,0.00,182.08,0.00,0.00,0.00,205.96,0.00,0,0,0,0
13.07,174.80,0.00,48.64,0.00,179.69,0.00,180.45,0.00,0.00,0.00,205.14,0.00,0,0,0,0
14.07,175.78,0.00,49.00,0.00,180.66,0.00,182.08,0.00,0.00,0.00,205.96,0.00,0,0,0,0
15.08,175.78,0.00,49.00,0.00,180.66,0.00,182.08,0.00,0.00,0.00,205.96,0.00,0,0,0,0
16.08,175.29,0.00,48.82,0.00,179.69,0.00,181.26,0.00,0.00,0.00,205.14,0.00,0,0,0,0
17.09,175.29,0.00,48.82,0.00,180.18,0.00,181.26,0.00,0.00,0.00,205.14,0.00,0,0,0,0
18.09,175.78,0.00,49.00,0.00,180.66,0.00,182.08,0.00,0.00,0.00,205.96,0.00,0,0,0,0
